Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,01:00:00,Daily,00:24:04,61.0,1020.2,
NRG-BN002,2021-11-16,02:00:02,2021-11-16,02:00:02,2021-11-23,01:05:00,Weekly,00:55:02,,,
NRG-BN003,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,01:10:00,Daily,00:14:04,51.0,67.32,
NRG-BN005,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,01:15:00,Daily,00:09:04,62.0,64.65,
NRG-BN007,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,01:20:00,Daily,00:04:04,73.0,363.53,
NRG-BN009,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,00:55:00,Daily,00:29:04,65.0,2.79,
NRG-BR001,2021-11-16,03:55:55,2021-11-16,03:55:55,2021-11-23,01:25:00,Weekly,02:30:55,,,
NRG-BR002,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,01:30:00,Daily,02:02:58,53.0,130.75,
NRG-BR003,2021-11-16,03:55:55,2021-11-16,03:55:55,2021-11-23,01:35:00,Weekly,02:20:55,,,
NRG-BR004,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,01:40:00,Daily,01:52:58,79.0,1772.26,
NRG-BR005,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,01:45:00,Daily,01:47:58,33.0,28.24,
NRG-BR007,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,01:50:00,Daily,01:42:58,72.0,18.66,
NRG-CC003,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,02:05:00,Daily,01:27:58,82.0,515.28,
NRG-CC004,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,02:10:00,Daily,01:22:58,43.0,260.24,
NRG-CC007CD,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,02:15:00,Daily,01:17:58,34.0,116.0,
NRG-CC008,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,02:20:00,Daily,01:12:58,63.0,57.44,
NRG-CC009,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,02:25:00,Daily,01:07:58,65.0,5.95,
NRG-DT001,2021-11-20,03:32:58,2021-11-20,03:32:58,2021-11-21,02:30:00,Daily,01:02:58,52.0,122.05,
NRG-GI002,2021-11-16,06:00:40,2021-11-16,06:00:40,2021-11-23,02:35:00,Weekly,03:25:40,,,
NRG-GI003,2021-11-20,05:30:36,2021-11-18,03:36:58,2021-11-21,02:40:00,Daily,00:56:58,,,[A] [G] Zip file creation process failed
NRG-GI004,2021-11-20,05:30:36,2021-11-20,05:30:36,2021-11-21,02:50:00,Daily,02:40:36,53.0,286.45,
NRG-GI005,2021-11-16,06:00:40,2021-11-16,06:00:40,2021-11-23,02:55:00,Weekly,03:05:40,,,
NRG-GI006,2021-11-20,05:30:36,2021-11-20,05:30:36,2021-11-21,03:00:00,Daily,02:30:36,73.0,200.95,
NRG-GU002,2021-11-20,05:30:36,2021-11-20,05:30:36,2021-11-21,03:05:00,Daily,02:25:36,49.0,204.63,
NRG-GU003,2021-11-20,05:30:36,2021-11-20,05:30:36,2021-11-21,03:10:00,Daily,02:20:36,47.0,264.85,
NRG-GU005,2021-11-20,05:30:36,2021-11-20,05:30:36,2021-11-21,03:15:00,Daily,02:15:36,52.0,490.46,
NRG-GU006,2021-11-20,05:30:36,2021-11-20,05:30:36,2021-11-21,03:20:00,Daily,02:10:36,50.0,450.57,
NRG-GU007,2021-11-20,05:30:36,2021-11-20,05:30:36,2021-11-21,03:25:00,Daily,02:05:36,44.0,42.51,
NRG-GU008,2021-11-20,05:30:36,2021-11-20,05:30:36,2021-11-21,03:30:00,Daily,02:00:36,59.0,63.12,
NRG-GU009,2021-11-20,05:30:36,2021-11-20,05:30:36,2021-11-21,03:35:00,Daily,01:55:36,77.0,55.29,
NRG-GY003,2021-11-16,02:00:02,2021-11-16,02:00:02,2021-11-23,00:55:00,Weekly,01:05:02,,,
NRG-GY004,2021-11-16,02:00:02,2021-11-16,02:00:02,2021-11-23,00:50:00,Weekly,01:10:02,,,
NRG-GY005,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,00:45:00,Daily,00:39:04,67.0,3456.32,
NRG-GY006,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,00:40:00,Daily,00:44:04,71.0,1552.73,
NRG-GY007,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,00:35:00,Daily,00:49:04,83.0,1184.47,
NRG-GY009,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,00:30:00,Daily,00:54:04,77.0,2757.75,
NRG-GY012,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,00:25:00,Daily,00:59:04,61.0,743.62,
NRG-GY014,2021-11-20,01:24:04,2021-11-20,01:24:04,2021-11-21,00:20:00,Daily,01:04:04,60.0,192.16,
NRG-GY016,2021-11-20,00:16:41,2021-11-20,00:16:41,2021-11-21,00:15:00,Daily,00:01:41,61.0,115.6,
NRG-GY017,2021-11-20,00:16:41,2021-11-20,00:16:41,2021-11-21,00:10:00,Daily,00:06:41,71.0,231.89,
NRG-GY018,2021-11-20,00:16:41,2021-11-20,00:16:41,2021-11-21,00:05:00,Daily,00:11:41,77.0,1591.09,
NRG-GY019,2021-11-20,00:16:41,2021-11-20,00:16:41,2021-11-21,00:00:00,Daily,00:16:41,58.0,618.31,
NRG-GY020,2021-11-20,00:16:41,2021-11-20,00:16:41,2021-11-20,23:55:00,Daily,23:38:19,67.0,197.23,
