Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2024-02-02,00:30:00,2024-02-02,00:30:00,2024-02-03,00:30:00,Daily,00:00:00,68,37.97,0,
NRG-BN001,2024-02-02,01:00:00,2024-02-02,01:00:00,2024-02-03,01:00:00,Daily,00:00:00,61,1009.48,0,
NRG-BN002,2024-01-30,01:20:00,2024-01-30,01:20:00,2024-02-06,01:05:00,Weekly,00:15:00,0,,0,
NRG-BN003,2024-02-02,02:10:00,2024-02-02,02:10:00,2024-02-03,02:10:00,Daily,00:00:00,53,104.89,0,
NRG-BN005,2024-02-02,01:20:00,2024-02-02,01:20:00,2024-02-03,01:15:00,Daily,00:05:00,62,141.34,0,
NRG-BN007,2024-02-02,01:20:00,2024-02-02,01:20:00,2024-02-03,01:20:00,Daily,00:00:00,73,903.59,0,
NRG-BN009,2024-02-02,01:00:00,2024-02-02,01:00:00,2024-02-03,00:55:00,Daily,00:05:00,65,17.84,0,
NRG-BN010,2024-02-02,04:00:00,2024-02-02,04:00:00,2024-02-03,03:59:00,Daily,00:01:00,63,41.69,0,
NRG-BN011,2024-02-01,23:30:00,2024-02-01,23:30:00,2024-02-02,23:24:57,Daily,00:05:03,62,280.4,0,
NRG-BN012,2024-02-02,07:50:00,2024-02-02,07:50:00,2024-02-03,07:45:00,Daily,00:05:00,51,38.17,0,
NRG-BR001,2024-01-30,01:30:00,2024-01-30,01:30:00,2024-02-06,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2024-02-02,02:30:00,2024-02-02,02:30:00,2024-02-03,02:30:00,Daily,00:00:00,55,123.7,0,
NRG-BR003,2024-02-01,02:40:00,2024-02-01,02:40:00,2024-02-08,02:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2024-02-02,05:10:00,2024-02-02,05:10:00,2024-02-03,05:10:00,Daily,00:00:00,88,2681.49,0,
NRG-BR005,2024-02-02,01:50:00,2024-02-02,01:50:00,2024-02-03,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2024-02-02,01:50:00,2024-02-02,01:50:00,2024-02-03,01:50:00,Daily,00:00:00,72,504.34,0,
NRG-BR008,2024-02-01,23:20:00,2024-02-01,23:20:00,2024-02-02,23:20:00,Daily,00:00:00,70,7.42,0,
NRG-BR009,2024-02-02,00:10:00,2024-02-02,00:10:00,2024-02-03,00:10:00,Daily,00:00:00,62,5.29,0,
NRG-CC003,2024-02-02,02:10:00,2024-02-02,02:10:00,2024-02-03,02:05:00,Daily,00:05:00,82,543.85,0,
NRG-CC004,2024-02-02,02:10:00,2024-02-02,02:10:00,2024-02-03,02:10:00,Daily,00:00:00,43,229.14,0,
